datetime,open,high,low,close,volume
05-20-2020,8.991,9.043,8.88875,8.97,587536200
05-21-2020,9.0515,9.052405,8.7375,8.77525,761069640
05-22-2020,8.82525,9.093,8.71325,9.02625,1038765000
05-26-2020,9.15675,9.18175,8.672,8.71775,770779040
05-27-2020,8.625,8.63275,7.99675,8.52525,1175892240
05-28-2020,8.41225,8.7605,8.37925,8.487,736128160
05-29-2020,8.5545,8.8755,8.485,8.8755,745919760
06-01-2020,8.83325,8.84075,8.6895,8.80625,390511000
06-02-2020,8.79625,8.83725,8.658,8.82525,391320560
06-03-2020,8.82225,8.86625,8.7,8.7695,365438880
06-04-2020,8.728,8.94325,8.6775,8.7665,424278400
06-05-2020,8.7945,8.997,8.70798,8.92,481746040
06-08-2020,8.87725,8.889625,8.68575,8.805,387737240
06-09-2020,8.8,9.1097475,8.75125,9.046,468488840
06-10-2020,9.16775,9.5,9.1535,9.36675,632181480
06-11-2020,9.15,9.26125,8.786,8.79625,583650240
06-12-2020,9.1625,9.18725,8.703345,8.9325,570908160
06-15-2020,8.81525,9.18225,8.74375,9.17375,400002160
06-16-2020,9.225,9.26675,8.8387525,9.0685,535715000
06-17-2020,9.11375,9.299,9.07025,9.236,408305640
06-18-2020,9.227,9.2825,9.1145,9.218,254409520
06-19-2020,9.2425,9.445,9.2273375,9.26125,524160520
06-22-2020,9.3,9.53125,9.2733,9.52675,398466480
06-23-2020,9.551,9.6425,9.4075,9.45,375107400
06-24-2020,9.47625,9.55638,9.144505,9.2355,449370880
06-25-2020,9.35575,9.505,9.18225,9.49,376072000
06-26-2020,9.5,9.5,9.125,9.155,592085760
06-29-2020,9.16975,9.2045,8.9,9.2,342248120
06-30-2020,9.3139925,9.52625,9.2665025,9.49775,367892000
07-01-2020,9.52075,9.5756725,9.413,9.53,326646800
07-02-2020,9.639,9.7375,9.57825,9.61225,364054080
07-06-2020,9.74175,9.90875,9.7125,9.83925,315893720
07-07-2020,9.94625,10.07,9.85075,9.87175,357799720
07-08-2020,9.99375,10.225,9.9655,10.216,365480520
07-09-2020,10.38025,10.57,10.2335,10.509,494547200
07-10-2020,10.58875,10.65525,10.37875,10.47925,497674760
07-13-2020,10.595,10.7922475,10.025,10.05225,457074960
07-14-2020,10.075,10.40275,9.7855,10.377,542674200
07-15-2020,10.41425,10.433,10.05575,10.22725,403984920
07-16-2020,10.015,10.2067475,9.8955,10.13475,344964720
07-17-2020,10.2255,10.2485,10.0877525,10.2015,266284640
07-20-2020,10.27425,10.53125,10.15675,10.51075,284850840
07-21-2020,10.513,10.5599275,10.28675,10.3285,277666840
07-22-2020,10.3675,10.6025,10.2915575,10.43875,367290840
07-23-2020,10.45,10.547,10.03125,10.12975,411661280
07-24-2020,9.875,10.36475,9.777,10.1945,473292000
07-27-2020,10.23225,10.44175,10.21775,10.4215,292130200
07-28-2020,10.37425,10.382,10.20925,10.2155,271636040
07-29-2020,10.3908,10.51625,10.347,10.4655,284507680
07-30-2020,10.375,10.623045,10.29525,10.614,308880160
07-31-2020,10.56325,10.7665,10.433,10.61475,386286000
08-03-2020,10.7325,11.09875,10.71525,11.01025,413018240
08-04-2020,11.05,11.22775,10.9060025,11.22775,310335600
08-05-2020,11.244,11.37168,11.16625,11.28675,250499720
08-06-2020,11.34975,11.358,11.17875,11.3355,244315680
08-07-2020,11.3125,11.50475,11.0375,11.1995,342515960
08-10-2020,11.33425,11.40825,10.8565,11.165,427795920
